map,RoomID,playerInitialHealth,PlayerFinalHealth,HealthLost,TimeToExit,hasEnemies,nEnemies,EnemiesIds,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,28,10,10,0,3961,True,1,Name: Enemy27,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,30,10,10,0,3113,True,1,Name: Enemy16,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,32,10,10,0,11640,True,1,Name: Enemy22,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,12,10,10,0,4319,True,1,Name: Enemy40,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,14,10,10,0,7880,True,1,Name: Enemy27,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,52,10,10,0,8158,True,1,Name: Enemy39,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,54,10,10,0,4979,True,1,Name: Enemy39,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,56,10,10,0,4329,True,1,Name: Enemy21,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,58,10,10,0,3370,True,1,Name: Enemy27,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,38,10,10,0,7059,True,1,Name: Enemy28,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,40,10,10,0,7498,True,1,Name: Enemy22,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,78,10,10,0,9879,True,1,Name: Enemy3,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,24,10,10,0,3541,True,1,Name: Enemy39,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,4,10,10,0,4358,True,1,Name: Enemy9,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,44,10,10,0,3479,True,1,Name: Enemy15,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,42,10,10,0,5258,True,1,Name: Enemy27,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,84,10,10,0,5299,True,1,Name: Enemy39,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,104,10,10,0,4859,True,1,Name: Enemy39,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,124,10,10,0,12380,True,1,Name: Enemy39,Amount: 2,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,82,10,10,0,8838,True,1,Name: Enemy33,Amount: 2,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,102,10,10,0,6158,True,1,Name: Enemy39,Amount: 1,
R32-K3-L3-E24-L1.2-CE0.5~0.6-LE0.3~0.4,60,10,10,0,2778,True,1,Name: Enemy39,Amount: 1,
